Local Time,UTC Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Temperature,Relative Humidity,Precipitation,Clouds,Pressure,UV Index,Wind Speed,Wind Direction,Solar Radiation
2022-01-13 00:00:00,2022-01-12T17:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,158,381.3,16.7,86.7,109.1,65.7,54.7,17.0,93,0.0,100,1019,0.0,1.6,106,0
2022-01-13 01:00:00,2022-01-12T18:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,159,389.8,17.0,87.0,110.8,66.7,59.0,16.8,97,0.0,100,1019,0.0,1.2,98,0
2022-01-13 02:00:00,2022-01-12T19:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,158,385.0,16.0,87.3,107.1,63.7,58.7,16.4,97,0.0,91,1019,0.0,1.2,78,0
2022-01-13 03:00:00,2022-01-12T20:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,157,380.1,15.0,87.7,103.5,61.6,58.3,16.1,97,0.0,83,1019,0.0,1.2,58,0
2022-01-13 04:00:00,2022-01-12T21:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,156,375.3,14.0,88.0,99.8,59.6,58.0,15.7,97,0.0,75,1018,0.0,1.6,46,0
2022-01-13 05:00:00,2022-01-12T22:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,156,367.9,12.7,86.7,99.1,58.6,56.0,15.6,96,0.0,83,1019,0.0,2.0,46,0
2022-01-13 06:00:00,2022-01-12T23:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,155,360.5,11.3,85.3,98.5,58.6,54.0,15.6,96,0.0,91,1020,0.0,2.4,42,0
2022-01-13 07:00:00,2022-01-13T00:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,155,353.1,10.0,84.0,97.8,57.6,52.0,15.5,95,0.0,100,1020,0.6,2.0,320,34
2022-01-13 08:00:00,2022-01-13T01:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,154,343.5,9.0,87.3,95.5,56.6,48.7,15.4,94,0.0,91,1021,0.7,2.33,320,76
2022-01-13 09:00:00,2022-01-13T02:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,153,334.0,8.0,90.7,93.1,55.6,45.3,15.3,93,0.5,83,1022,1.0,2.66,320,221
2022-01-13 10:00:00,2022-01-13T03:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,153,324.5,7.0,94.0,90.9,54.6,42.0,15.2,93,0.75,75,1022,1.5,3.0,320,391
2022-01-13 11:00:00,2022-01-13T04:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,152,319.6,6.7,95.7,91.2,54.6,39.0,15.6,87,0.0,83,1021,1.9,3.0,230,360
2022-01-13 12:00:00,2022-01-13T05:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,152,314.8,6.3,97.3,91.6,54.6,36.0,16.1,82,0.0,91,1021,2.0,3.0,140,244
2022-01-13 13:00:00,2022-01-13T06:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,151,309.9,6.0,99.0,91.9,54.6,33.0,16.5,77,0.5,100,1020,1.9,3.0,50,163
2022-01-13 14:00:00,2022-01-13T07:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,151,307.6,6.3,98.7,91.6,54.6,31.7,16.6,75,0.0,100,1019,1.5,2.66,140,151
2022-01-13 15:00:00,2022-01-13T08:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,151,305.2,6.7,98.3,91.2,54.6,30.3,16.6,73,0.0,100,1019,1.1,2.33,230,129
2022-01-13 16:00:00,2022-01-13T09:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,151,302.9,7.0,98.0,90.9,54.6,29.0,16.7,72,0.0,100,1018,0.8,2.0,320,95
2022-01-13 17:00:00,2022-01-13T10:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,151,313.4,8.3,91.7,98.8,58.6,31.7,16.6,73,0.0,100,1019,0.7,2.0,320,47
2022-01-13 18:00:00,2022-01-13T11:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,152,323.9,9.7,85.3,106.8,63.7,34.3,16.4,74,0.0,100,1019,0.0,2.0,320,0
2022-01-13 19:00:00,2022-01-13T12:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,154,334.4,11.0,79.0,114.8,68.7,37.0,16.3,76,0.0,100,1019,0.0,2.0,320,0
2022-01-13 20:00:00,2022-01-13T13:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,158,351.7,13.7,74.3,124.5,74.8,43.7,16.3,76,0.0,100,1020,0.0,2.0,320,0
2022-01-13 21:00:00,2022-01-13T14:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,161,369.0,16.3,69.7,134.0,79.8,50.3,16.3,76,0.25,100,1020,0.0,2.0,320,0
2022-01-13 22:00:00,2022-01-13T15:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,166,386.3,19.0,65.0,143.7,85.9,57.0,16.3,76,0.75,100,1020,0.0,2.0,320,0
2022-01-13 23:00:00,2022-01-13T16:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,172,416.5,21.7,61.0,156.4,94.0,65.3,16.2,77,0.0,100,1020,0.0,0.8,306,0
2022-01-14 00:00:00,2022-01-13T17:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,177,446.6,24.3,57.0,168.9,101.0,73.7,16.0,77,0.0,100,1019,0.0,0.8,338,0
2022-01-14 01:00:00,2022-01-13T18:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,183,476.8,27.0,53.0,181.6,109.1,82.0,15.9,78,0.0,100,1019,0.0,0.8,350,0
2022-01-14 02:00:00,2022-01-13T19:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,186,482.4,26.7,50.3,182.6,109.1,78.3,15.7,79,0.0,100,1019,0.0,0.4,356,0
2022-01-14 03:00:00,2022-01-13T20:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,187,488.1,26.3,47.7,183.6,109.1,74.7,15.5,80,0.0,100,1018,0.0,0.8,56,0
2022-01-14 04:00:00,2022-01-13T21:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,188,493.7,26.0,45.0,184.6,110.1,71.0,15.3,81,0.0,100,1018,0.0,0.8,78,0
2022-01-14 05:00:00,2022-01-13T22:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,186,488.9,25.3,42.0,169.6,101.0,65.3,15.3,85,0.0,79,1018,0.0,0.8,42,0
2022-01-14 06:00:00,2022-01-13T23:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,182,484.0,24.7,39.0,154.6,91.9,59.7,15.4,89,0.0,58,1019,0.0,1.2,66,0
2022-01-14 07:00:00,2022-01-14T00:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,179,479.1,24.0,36.0,139.8,83.9,54.0,15.4,94,0.0,37,1019,0.6,0.8,84,39
2022-01-14 08:00:00,2022-01-14T01:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,175,445.5,19.7,44.7,126.5,75.8,50.0,15.8,91,0.0,58,1019,0.7,0.8,58,203
2022-01-14 09:00:00,2022-01-14T02:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,168,411.8,15.3,53.3,113.1,67.7,46.0,16.3,88,0.25,79,1020,1.1,0.8,48,254
2022-01-14 10:00:00,2022-01-14T03:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,160,378.2,11.0,62.0,99.8,59.6,42.0,16.7,86,0.5,100,1020,1.5,0.8,50,144
2022-01-14 11:00:00,2022-01-14T04:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,155,363.8,9.3,71.0,91.1,53.5,37.3,17.0,85,0.25,100,1019,2.0,0.4,40,158
2022-01-14 12:00:00,2022-01-14T05:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,148,349.4,7.7,80.0,82.5,48.5,32.7,17.4,84,0.25,100,1018,2.1,0.4,56,163
2022-01-14 13:00:00,2022-01-14T06:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,134,335.0,6.0,89.0,73.8,43.4,28.0,17.7,83,0.0,100,1017,2.3,1.0,90,160
2022-01-14 14:00:00,2022-01-14T07:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,126,329.5,6.0,91.7,71.8,42.4,24.3,18.0,82,0.0,100,1016,2.0,1.2,158,146
2022-01-14 15:00:00,2022-01-14T08:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,121,324.1,6.0,94.3,69.8,41.4,20.7,18.3,80,0.0,100,1015,1.2,1.6,154,125
2022-01-14 16:00:00,2022-01-14T09:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,116,318.6,6.0,97.0,67.9,39.4,17.0,18.6,79,0.0,100,1015,0.8,2.0,144,94
2022-01-14 17:00:00,2022-01-14T10:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,134,359.9,12.0,81.0,96.1,56.6,26.3,18.4,81,0.0,79,1015,0.8,2.4,116,43
2022-01-14 18:00:00,2022-01-14T11:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,155,401.1,18.0,65.0,124.5,73.8,35.7,18.1,84,0.0,58,1015,0.0,2.0,96,0
2022-01-14 19:00:00,2022-01-14T12:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,166,442.4,24.0,49.0,152.7,90.9,45.0,17.9,86,0.0,37,1015,0.0,2.0,96,0
2022-01-14 20:00:00,2022-01-14T13:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,173,465.9,27.3,44.7,161.7,97.0,52.0,17.8,87,0.0,58,1015,0.0,1.6,92,0
2022-01-14 21:00:00,2022-01-14T14:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,178,489.4,30.7,40.3,170.6,102.0,59.0,17.7,88,0.0,79,1016,0.0,1.6,92,0
2022-01-14 22:00:00,2022-01-14T15:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,183,513.0,34.0,36.0,179.6,107.1,66.0,17.6,89,0.0,100,1016,0.0,1.2,96,0
2022-01-14 23:00:00,2022-01-14T16:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,189,564.5,39.0,30.0,199.6,119.2,79.7,17.4,91,0.0,100,1016,0.0,1.2,100,0
2022-01-15 00:00:00,2022-01-14T17:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,191,616.1,44.0,24.0,203.4,114.2,93.3,17.2,93,0.0,100,1016,0.0,1.2,108,0
2022-01-15 01:00:00,2022-01-14T18:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,195,667.6,49.0,18.0,221.9,124.9,107.0,17.0,95,0.0,100,1016,0.0,1.0,270,0
2022-01-15 02:00:00,2022-01-14T19:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,200,713.7,50.0,15.0,232.8,131.1,100.0,16.8,95,0.0,100,1015,0.0,1.0,285,0
2022-01-15 03:00:00,2022-01-14T20:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,206,759.8,51.0,12.0,243.6,136.4,93.0,16.7,95,0.0,100,1015,0.0,1.0,300,0
2022-01-15 04:00:00,2022-01-14T21:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,212,806.0,52.0,9.0,254.4,142.6,86.0,16.5,95,0.0,100,1015,0.0,1.0,315,0
2022-01-15 05:00:00,2022-01-14T22:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,208,753.8,47.3,12.7,231.3,129.3,73.3,16.4,96,0.0,91,1016,0.0,1.0,330,0
2022-01-15 06:00:00,2022-01-14T23:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,202,701.7,42.7,16.3,208.1,116.9,60.7,16.4,97,0.0,83,1016,0.0,1.0,345,0
2022-01-15 07:00:00,2022-01-15T00:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,196,649.5,38.0,20.0,185.0,103.6,48.0,16.3,98,0.0,75,1017,0.6,1.0,360,57
2022-01-15 08:00:00,2022-01-15T01:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,185,563.0,30.0,38.3,153.6,85.9,40.3,16.6,96,0.0,83,1017,0.7,1.66,345,119
2022-01-15 09:00:00,2022-01-15T02:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,171,476.4,22.0,56.7,122.1,68.2,32.7,16.9,95,0.0,91,1018,1.0,2.33,335,139
2022-01-15 10:00:00,2022-01-15T03:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,160,389.8,14.0,75.0,90.6,51.4,25.0,17.2,93,0.0,100,1018,1.5,3.0,320,141
2022-01-15 11:00:00,2022-01-15T04:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,149,345.1,11.0,83.0,75.8,42.5,20.0,18.0,87,0.0,79,1017,1.9,2.66,305,413
2022-01-15 12:00:00,2022-01-15T05:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,124,300.4,8.0,91.0,61.0,34.5,15.0,18.8,81,0.0,58,1016,2.1,2.33,285,646
2022-01-15 13:00:00,2022-01-15T06:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,255.6,5.0,99.0,46.3,25.7,10.0,19.6,76,0.0,37,1015,1.9,2.0,270,706
2022-01-15 14:00:00,2022-01-15T07:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,95,256.6,6.7,91.7,53.6,30.1,13.3,20.3,75,0.0,58,1015,1.6,2.0,285,539
2022-01-15 15:00:00,2022-01-15T08:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,97,257.6,8.3,84.3,61.0,34.5,16.7,20.9,73,0.0,79,1014,1.1,2.0,305,275
2022-01-15 16:00:00,2022-01-15T09:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,103,258.5,10.0,77.0,68.4,39.0,20.0,21.6,72,0.0,100,1014,0.8,2.0,320,93
2022-01-15 17:00:00,2022-01-15T10:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,116,280.3,13.3,67.7,83.2,46.9,25.3,21.0,76,0.0,100,1015,0.7,2.0,325,47
2022-01-15 18:00:00,2022-01-15T11:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,134,302.1,16.7,58.3,97.9,55.8,30.7,20.4,79,0.0,100,1015,0.0,2.0,325,0
2022-01-15 19:00:00,2022-01-15T12:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,151,323.9,20.0,49.0,112.8,63.8,36.0,19.8,83,0.0,100,1016,0.0,2.0,330,0
2022-01-15 20:00:00,2022-01-15T13:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,156,342.2,22.3,46.0,120.4,68.2,42.7,19.5,85,0.0,100,1016,0.0,2.0,335,0
2022-01-15 21:00:00,2022-01-15T14:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,159,360.5,24.7,43.0,128.3,71.7,49.3,19.3,87,0.0,100,1016,0.0,2.0,335,0
2022-01-15 22:00:00,2022-01-15T15:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,162,378.8,27.0,40.0,136.0,76.2,56.0,19.0,88,0.0,100,1017,0.0,2.0,340,0
2022-01-15 23:00:00,2022-01-15T16:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,165,396.1,29.0,38.7,139.9,78.8,62.0,18.9,88,0.0,100,1017,0.0,1.66,315,0
2022-01-16 00:00:00,2022-01-15T17:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,171,413.4,31.0,37.3,155.3,91.9,68.0,18.9,88,0.0,100,1017,0.0,1.33,295,0
2022-01-16 01:00:00,2022-01-15T18:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,175,430.7,33.0,36.0,159.7,95.0,74.0,18.8,88,0.0,100,1017,0.0,1.0,270,0
2022-01-16 02:00:00,2022-01-15T19:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,175,431.3,32.0,36.3,152.0,89.9,68.0,18.6,90,0.0,100,1016,0.0,1.0,280,0
2022-01-16 03:00:00,2022-01-15T20:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,174,431.9,31.0,36.7,144.4,85.9,62.0,18.4,92,0.0,100,1016,0.0,1.0,285,0
2022-01-16 04:00:00,2022-01-15T21:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,171,432.4,30.0,37.0,136.7,80.8,56.0,18.2,93,0.0,100,1015,0.0,1.0,295,0
2022-01-16 05:00:00,2022-01-15T22:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,169,402.5,26.3,40.7,130.0,76.8,48.3,18.1,94,0.0,91,1016,0.0,1.0,305,0
2022-01-16 06:00:00,2022-01-15T23:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,167,372.5,22.7,44.3,123.4,72.7,40.7,18.1,95,0.0,83,1016,0.0,1.0,310,0
2022-01-16 07:00:00,2022-01-16T00:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,166,342.6,19.0,48.0,116.7,69.7,33.0,18.0,96,0.0,75,1017,0.6,1.0,320,57
2022-01-16 08:00:00,2022-01-16T01:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,160,297.6,15.0,60.7,97.5,57.6,26.3,19.0,94,0.0,75,1017,0.7,1.33,260,152
2022-01-16 09:00:00,2022-01-16T02:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,151,252.7,11.0,73.3,78.2,46.5,19.7,20.0,91,0.0,75,1017,2.2,1.66,200,280
2022-01-16 10:00:00,2022-01-16T03:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,125,207.8,7.0,86.0,58.9,34.4,13.0,21.0,88,0.0,75,1018,2.3,2.0,140,385
2022-01-16 11:00:00,2022-01-16T04:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,109,192.4,5.7,90.0,55.2,32.3,12.0,22.2,83,0.0,70,1017,3.7,2.33,130,508
2022-01-16 12:00:00,2022-01-16T05:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,98,177.0,4.3,94.0,51.6,30.3,11.0,23.4,79,0.0,66,1016,3.8,2.66,120,576
