latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
20.99091,106.83219,345.71,0.34,0.56,2022-01-16,0528,SNPP,SNPP,n,2,289.96,4.27,D,0
20.17581,105.08434,327.32,0.72,0.76,2022-01-16,0708,SNPP,SNPP,n,2,285.01,8.39,D,0
20.17241,105.08342,329.97,0.72,0.76,2022-01-16,0708,SNPP,SNPP,n,2,285.06,7.71,D,0
21.15382,106.52602,325.21,0.45,0.47,2022-01-18,0631,SNPP,SNPP,n,2,290,2.21,D,0
21.84134,105.20755,295.43,0.39,0.44,2022-01-18,1900,SNPP,SNPP,n,2,284.57,0.39,N,0
21.55861,105.8698,300.97,0.43,0.46,2022-01-18,1900,SNPP,SNPP,n,2,284.62,0.76,N,2
21.55442,105.86887,297.49,0.43,0.46,2022-01-18,1900,SNPP,SNPP,n,2,283.27,0.76,N,0
21.21413,105.93738,296.75,0.44,0.46,2022-01-18,1900,SNPP,SNPP,n,2,284.63,0.53,N,0
21.27863,106.69586,331.01,0.41,0.37,2022-01-19,0612,SNPP,SNPP,n,2,291.56,2.99,D,0
21.1919,105.23286,330.35,0.38,0.36,2022-01-19,0612,SNPP,SNPP,n,2,290.2,2.56,D,0
21.39284,106.39592,331.69,0.4,0.37,2022-01-19,0612,SNPP,SNPP,n,2,295.25,26.04,D,0
21.45076,106.4343,335.93,0.4,0.37,2022-01-19,0612,SNPP,SNPP,n,2,290.71,7.03,D,0
21.53621,106.15341,325.1,0.4,0.37,2022-01-19,0612,SNPP,SNPP,n,2,291.19,2,D,0
21.61952,106.00689,334.15,0.39,0.36,2022-01-19,0612,SNPP,SNPP,n,2,297.44,26.48,D,0
21.73403,106.74055,343.7,0.41,0.37,2022-01-19,0612,SNPP,SNPP,n,2,291.92,7.92,D,0
21.65178,106.06393,326.29,0.4,0.37,2022-01-19,0612,SNPP,SNPP,n,2,288.97,2,D,0
21.67448,106.14992,332.33,0.4,0.37,2022-01-19,0612,SNPP,SNPP,n,2,291.86,3.84,D,0
21.94248,105.6671,331.93,0.39,0.36,2022-01-19,0612,SNPP,SNPP,n,2,287.37,3.25,D,0
20.23931,105.29697,327.71,0.46,0.47,2022-01-23,0637,SNPP,SNPP,n,2,292.37,2.4,D,0
21.55937,105.86993,306.09,0.54,0.51,2022-01-23,1906,SNPP,SNPP,n,2,289.16,1.07,N,2
20.19456,105.50268,341.99,0.41,0.37,2022-01-24,0618,SNPP,SNPP,n,2,301.46,4.46,D,0
