latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
20.92155,105.35392,315.72,0.51,0.41,2026-04-30,1902,SNPP,SNPP,n,2.0NRT,288.08,1.82,N
20.92163,105.35591,311.89,0.51,0.41,2026-04-30,1902,SNPP,SNPP,n,2.0NRT,287.99,1.59,N
20.51032,105.86781,302.72,0.56,0.43,2026-04-30,1902,SNPP,SNPP,n,2.0NRT,289.02,1.28,N
20.39871,105.89953,307.73,0.56,0.43,2026-04-30,1902,SNPP,SNPP,n,2.0NRT,290.08,1.57,N
21.01831,106.53203,329.66,0.38,0.36,2026-05-01,0614,SNPP,SNPP,n,2.0NRT,296.71,3.74,D
20.48144,105.88074,305.36,0.38,0.36,2026-05-01,1843,SNPP,SNPP,n,2.0NRT,283.73,0.97,N
20.40676,105.90163,296.32,0.38,0.36,2026-05-01,1843,SNPP,SNPP,n,2.0NRT,270.26,0.46,N
20.40345,105.90102,296.73,0.38,0.36,2026-05-01,1843,SNPP,SNPP,n,2.0NRT,268.85,0.59,N
20.15044,105.14388,346.03,0.44,0.46,2026-05-02,0555,SNPP,SNPP,n,2.0NRT,293.37,8.16,D
20.18028,105.04676,346.63,0.44,0.46,2026-05-02,0555,SNPP,SNPP,n,2.0NRT,292.74,9.17,D
20.92267,105.35167,338.81,0.41,0.45,2026-05-02,0555,SNPP,SNPP,n,2.0NRT,295.35,1.64,D
20.97375,104.98666,339.89,0.43,0.46,2026-05-02,0555,SNPP,SNPP,n,2.0NRT,293.69,4.5,D
21.45015,105.39198,351.29,0.4,0.6,2026-05-04,0659,SNPP,SNPP,n,2.0NRT,290.85,8.83,D
21.44978,105.38811,341.65,0.4,0.6,2026-05-04,0659,SNPP,SNPP,n,2.0NRT,290.45,5.41,D
21.93013,105.68924,327.22,0.42,0.61,2026-05-04,0659,SNPP,SNPP,n,2.0NRT,290.09,3.41,D
21.62412,106.1757,345.94,0.45,0.47,2026-05-05,0640,SNPP,SNPP,n,2.0NRT,294.59,6.6,D
21.6899,105.28352,335.72,0.4,0.44,2026-05-05,0640,SNPP,SNPP,n,2.0NRT,294.9,2.22,D
21.83375,105.76559,336.52,0.42,0.46,2026-05-05,0640,SNPP,SNPP,n,2.0NRT,293.63,3.03,D
21.91352,105.86194,338.55,0.43,0.46,2026-05-05,0640,SNPP,SNPP,n,2.0NRT,292.18,4.19,D
21.03954,106.58921,306.79,0.5,0.49,2026-05-05,1908,SNPP,SNPP,n,2.0NRT,289.67,1.02,N
20.74265,105.65241,304.25,0.44,0.46,2026-05-05,1908,SNPP,SNPP,n,2.0NRT,289.96,0.55,N
20.39833,105.90041,304.47,0.46,0.47,2026-05-05,1908,SNPP,SNPP,n,2.0NRT,289.57,1.07,N
20.4361,105.8203,334.01,0.39,0.36,2026-05-06,0620,SNPP,SNPP,n,2.0NRT,297.38,4.98,D
20.6159,105.29985,347.67,0.39,0.36,2026-05-06,0620,SNPP,SNPP,n,2.0NRT,300.21,8.63,D
20.44462,105.02117,331.35,0.53,0.42,2026-05-07,0601,SNPP,SNPP,n,2.0NRT,292.98,3.83,D
21.28004,106.67609,333.47,0.47,0.4,2026-05-11,0625,SNPP,SNPP,n,2.0NRT,293.9,6.67,D
21.34975,105.57355,330.59,0.43,0.38,2026-05-11,0627,SNPP,SNPP,n,2.0NRT,294.61,2.09,D
21.01231,106.54153,304.33,0.49,0.4,2026-05-11,1856,SNPP,SNPP,n,2.0NRT,291.99,0.85,N
21.00862,106.54076,309.51,0.49,0.4,2026-05-11,1856,SNPP,SNPP,n,2.0NRT,291.79,1.67,N
20.53038,105.8659,307.44,0.46,0.39,2026-05-11,1856,SNPP,SNPP,n,2.0NRT,291.83,1.19,N
20.51033,105.86834,302.77,0.46,0.39,2026-05-11,1856,SNPP,SNPP,n,2.0NRT,290.23,0.83,N
20.40389,105.89912,304.65,0.47,0.39,2026-05-11,1856,SNPP,SNPP,n,2.0NRT,292.15,1.63,N
20.3995,105.90286,305.73,0.47,0.39,2026-05-11,1856,SNPP,SNPP,n,2.0NRT,292.51,1.29,N
20.4069,105.89895,308.5,0.4,0.37,2026-05-12,1838,SNPP,SNPP,n,2.0NRT,288.98,1.3,N
20.40297,105.90216,307.95,0.4,0.37,2026-05-12,1838,SNPP,SNPP,n,2.0NRT,289.31,0.93,N
20.39961,105.9016,308.88,0.4,0.37,2026-05-12,1838,SNPP,SNPP,n,2.0NRT,289.34,1.08,N
