City,Country code,Lat,Lon,timezone,Clouds,Precipitation,Pressure,Sea Level Pressure,Relative Humidity,Temperature,Apparent Temperature,Dew Point,UV Index,Visibility,Wind Speed,Wind Gust Speed,Wind Direction,Solar Radiation,Local Time,UTC Time
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1019,1020,93,17.0,17.0,15.9,0.0,10.0,1.6,2.4,106,0,2022-01-13 00:00:00,2022-01-12T17:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1019,1020,97,16.8,16.8,16.3,0.0,10.0,1.2,2.0,98,0,2022-01-13 01:00:00,2022-01-12T18:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,91,0.0,1019,1020,97,16.4,16.4,16.0,0.0,8.0,1.2,2.0,78,0,2022-01-13 02:00:00,2022-01-12T19:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,83,0.0,1019,1020,97,16.1,16.1,15.6,0.0,6.0,1.2,2.4,58,0,2022-01-13 03:00:00,2022-01-12T20:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,75,0.0,1018,1019,97,15.7,15.7,15.2,0.0,4.0,1.6,3.2,46,0,2022-01-13 04:00:00,2022-01-12T21:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,83,0.0,1019,1020,96,15.6,15.6,15.0,0.0,4.0,2.0,3.6,46,0,2022-01-13 05:00:00,2022-01-12T22:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,91,0.0,1020,1021,96,15.6,15.6,14.9,0.0,4.0,2.4,4.4,42,0,2022-01-13 06:00:00,2022-01-12T23:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1020,1021,95,15.5,15.5,14.7,0.6,4.0,2.0,5.2,320,34,2022-01-13 07:00:00,2022-01-13T00:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,91,0.0,1021,1022,94,15.4,15.4,14.4,0.7,4.0,2.33,5.2,320,76,2022-01-13 08:00:00,2022-01-13T01:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,83,0.5,1022,1023,93,15.3,15.3,14.2,1.0,4.0,2.66,5.2,320,221,2022-01-13 09:00:00,2022-01-13T02:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,75,0.75,1022,1023,93,15.2,15.2,14.1,1.5,4.0,3.0,4.8,320,391,2022-01-13 10:00:00,2022-01-13T03:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,83,0.0,1021,1022,87,15.6,15.6,13.5,1.9,6.0,3.0,5.2,230,360,2022-01-13 11:00:00,2022-01-13T04:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,91,0.0,1021,1021,82,16.1,16.1,13.0,2.0,8.0,3.0,5.2,140,244,2022-01-13 12:00:00,2022-01-13T05:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.5,1020,1021,77,16.5,16.5,12.5,1.9,10.0,3.0,5.6,50,163,2022-01-13 13:00:00,2022-01-13T06:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1019,1020,75,16.6,16.6,12.1,1.5,10.0,2.66,5.2,140,151,2022-01-13 14:00:00,2022-01-13T07:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1019,1020,73,16.6,16.6,11.8,1.1,10.0,2.33,4.4,230,129,2022-01-13 15:00:00,2022-01-13T08:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1018,1019,72,16.7,16.7,11.6,0.8,10.0,2.0,3.6,320,95,2022-01-13 16:00:00,2022-01-13T09:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1019,1020,73,16.6,16.6,11.7,0.7,10.0,2.0,3.2,320,47,2022-01-13 17:00:00,2022-01-13T10:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1019,1020,74,16.4,16.4,11.8,0.0,10.0,2.0,2.4,320,0,2022-01-13 18:00:00,2022-01-13T11:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1019,1020,76,16.3,16.3,12.1,0.0,10.0,2.0,2.0,320,0,2022-01-13 19:00:00,2022-01-13T12:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1020,1021,76,16.3,16.3,12.1,0.0,10.0,2.0,2.0,320,0,2022-01-13 20:00:00,2022-01-13T13:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.25,1020,1021,76,16.3,16.3,12.1,0.0,10.0,2.0,2.0,320,0,2022-01-13 21:00:00,2022-01-13T14:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.75,1020,1021,76,16.3,16.3,12.1,0.0,10.0,2.0,2.0,320,0,2022-01-13 22:00:00,2022-01-13T15:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1020,1021,77,16.2,16.2,12.1,0.0,10.0,0.8,1.6,306,0,2022-01-13 23:00:00,2022-01-13T16:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1019,1020,77,16.0,16.0,12.0,0.0,10.0,0.8,1.6,338,0,2022-01-14 00:00:00,2022-01-13T17:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1019,1020,78,15.9,15.9,12.1,0.0,10.0,0.8,1.6,350,0,2022-01-14 01:00:00,2022-01-13T18:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1019,1020,79,15.7,15.7,12.1,0.0,10.0,0.4,1.2,356,0,2022-01-14 02:00:00,2022-01-13T19:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1018,1019,80,15.5,15.5,12.1,0.0,10.0,0.8,1.2,56,0,2022-01-14 03:00:00,2022-01-13T20:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1018,1019,81,15.3,15.3,12.1,0.0,10.0,0.8,1.2,78,0,2022-01-14 04:00:00,2022-01-13T21:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,79,0.0,1018,1019,85,15.3,15.3,12.8,0.0,8.0,0.8,1.2,42,0,2022-01-14 05:00:00,2022-01-13T22:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,58,0.0,1019,1020,89,15.4,15.4,13.6,0.0,6.0,1.2,1.2,66,0,2022-01-14 06:00:00,2022-01-13T23:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,37,0.0,1019,1020,94,15.4,15.4,14.4,0.6,4.0,0.8,1.6,84,39,2022-01-14 07:00:00,2022-01-14T00:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,58,0.0,1019,1020,91,15.8,15.8,14.4,0.7,4.0,0.8,2.0,58,203,2022-01-14 08:00:00,2022-01-14T01:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,79,0.25,1020,1021,88,16.3,16.3,14.3,1.1,4.0,0.8,2.4,48,254,2022-01-14 09:00:00,2022-01-14T02:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.5,1020,1021,86,16.7,16.7,14.3,1.5,4.0,0.8,3.2,50,144,2022-01-14 10:00:00,2022-01-14T03:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.25,1019,1020,85,17.0,17.0,14.5,2.0,4.0,0.4,3.6,40,158,2022-01-14 11:00:00,2022-01-14T04:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.25,1018,1019,84,17.4,17.4,14.6,2.1,4.0,0.4,4.0,56,163,2022-01-14 12:00:00,2022-01-14T05:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1017,1018,83,17.7,17.7,14.8,2.3,4.0,1.0,4.8,90,160,2022-01-14 13:00:00,2022-01-14T06:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1016,1017,82,18.0,18.0,14.9,2.0,4.0,1.2,3.6,158,146,2022-01-14 14:00:00,2022-01-14T07:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1015,1016,80,18.3,18.3,14.8,1.2,4.0,1.6,4.0,154,125,2022-01-14 15:00:00,2022-01-14T08:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1015,1016,79,18.6,18.6,14.9,0.8,4.0,2.0,4.8,144,94,2022-01-14 16:00:00,2022-01-14T09:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,79,0.0,1015,1016,81,18.4,18.4,15.0,0.8,4.0,2.4,4.0,116,43,2022-01-14 17:00:00,2022-01-14T10:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,58,0.0,1015,1016,84,18.1,18.1,15.4,0.0,4.0,2.0,4.0,96,0,2022-01-14 18:00:00,2022-01-14T11:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,37,0.0,1015,1016,86,17.9,17.9,15.5,0.0,4.0,2.0,3.6,96,0,2022-01-14 19:00:00,2022-01-14T12:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,58,0.0,1015,1016,87,17.8,17.8,15.6,0.0,4.0,1.6,3.2,92,0,2022-01-14 20:00:00,2022-01-14T13:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,79,0.0,1016,1017,88,17.7,17.7,15.7,0.0,4.0,1.6,2.8,92,0,2022-01-14 21:00:00,2022-01-14T14:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1016,1017,89,17.6,17.6,15.8,0.0,4.0,1.2,2.4,96,0,2022-01-14 22:00:00,2022-01-14T15:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1016,1017,91,17.4,17.4,15.9,0.0,4.0,1.2,2.4,100,0,2022-01-14 23:00:00,2022-01-14T16:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1016,1017,93,17.2,17.2,16.1,0.0,4.0,1.2,2.0,108,0,2022-01-15 00:00:00,2022-01-14T17:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1016,1017,95,17.0,17.0,16.2,0.0,4.0,1.0,2.0,270,0,2022-01-15 01:00:00,2022-01-14T18:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1015,1016,95,16.8,16.8,16.0,0.0,4.0,1.0,1.2,285,0,2022-01-15 02:00:00,2022-01-14T19:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1015,1016,95,16.7,16.7,15.9,0.0,4.0,1.0,1.2,300,0,2022-01-15 03:00:00,2022-01-14T20:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,100,0.0,1015,1016,95,16.5,16.5,15.7,0.0,4.0,1.0,1.2,315,0,2022-01-15 04:00:00,2022-01-14T21:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,91,0.0,1016,1016,96,16.4,16.4,15.8,0.0,3.0,1.0,1.2,330,0,2022-01-15 05:00:00,2022-01-14T22:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,83,0.0,1016,1017,97,16.4,16.4,15.9,0.0,3.0,1.0,1.2,345,0,2022-01-15 06:00:00,2022-01-14T23:00:00
Hoàn Kiếm,VN,21.0285,105.8542,Asia/Ho_Chi_Minh,75,0.0,1017,1018,98,16.3,16.3,16.0,0.6,2.0,1.0,1.2,360,57,2022-01-15 07:00:00,2022-01-15T00:00:00
